FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221006;20221003;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;MorropOn ;Lancones;200604;0;3.74;0;0
20221006;20221003;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;MorropOn ;Lancones;200604;0.42;0.42;0.42;0
20221006;20221003;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;MorropOn ;Lancones;200604;41.56;40.01;41.56;0
20221006;20221003;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;MorropOn ;Lancones;200604;11.47;14.12;15;0
20221006;20221003;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;MorropOn ;Lancones;200604;0;5;21;0
20221006;20221003;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;MorropOn ;Lancones;200604;0;5;21;0
20221006;20221003;SALIDA DE RESERVERIO;RIO CHIRA - ALIVIADERO;m3/s;HIDROLOGICA;Piura;MorropOn ;Lancones;200604;0;0;0;0
20221006;20221003;RESERVORIO POECHOS;INCREMENTO VOL;mmc;PRESA;Piura;MorropOn ;Lancones;200604;0;-3.8;0;0
20221006;20221003;RESERVORIO POECHOS;VOLUMEN;mmc;PRESA;Piura;MorropOn ;Lancones;200604;314.7;0;318.5;0
20221006;20221003;RESERVORIO POECHOS;COTA REPRESA;msnm;PRESA;Piura;MorropOn ;Lancones;200604;101.9;0;101.99;0
20221006;20221003;RESERVORIO POECHOS;ENTRADA;m3/s;PRESA;Piura;MorropOn ;Lancones;200604;0;19.3;0;0
20221006;20221003;RIO QUIROZ;PARAJE GRANDE;m3/s;HIDROLOGICA;Piura;MorropOn ;Suyo;200210;0.5;0.5;0.5;0
20221006;20221003;RIO CHIRA;ARDILLA;m3/s;HIDROLOGICA;Piura;MorropOn ;Lancones;200604;0;19.3;0;0
20221006;20221003;RIO CHIRA;EL CIRUELO;m3/s;HIDROLOGICA;Piura;MorropOn ;Suyo;200210;10;12.4;15;0
20221006;20221003;RIO MACARA;PUENTE INTERNACIONAL;m3/s;HIDROLOGICA;Piura;MorropOn ;Suyo;200210;4.8;5.3;5.7;0
